titration_index,Titrant Mass,sample type,file_not_good,date,bottle nr,acid_added_mL,waiting time (minutes),Titration duration (seconds),Titrant Molinity,acid_increment_mL,reference_DIC,calculated_DIC,Alkalinity,slope,intercept,r_squared,plateau_C_percent,spread_C_percent
146,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Nose,,23/10/2025,2,4.2,0.08333,599.0,0.0994127310626206,0.15,2245.103920029569,1688.810675316539,2313.426213785394,-42.59020174487533,100.4119842960288,0.9999199180273434,0.6755655338009574,0.0005729396928460651
161,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Nose,,27/10/2025,1,4.2,0.0,613.0,0.0994127310626206,0.15,2241.818928760184,1683.458736919176,2309.428434169681,-42.68370578815604,100.41531042843305,0.9999189529339992,0.6754519836521942,0.000565293959798852
172,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Nose,,28/10/2025,12,4.2,0.0,601.0,0.0994127310626206,0.15,2242.084845941171,1684.854397563249,2315.51306534936,-42.56392161868168,100.41146233243866,0.9999200219795755,0.6751893259100213,0.0005750959925396453
174,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Nose,,28/10/2025,2,4.2,0.0,595.0,0.0994127310626206,0.15,2242.084845941171,1648.484363343296,2330.168975410972,-42.29546645446956,100.40326167661067,0.9999222432600033,0.6742433980953624,0.0005985125415847092
187,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Junk_old,,29/10/2025,3,4.2,0.0,605.0,0.0994127310626206,0.15,2221.803241187168,1627.248074974648,2318.226291624173,-42.3099659073909,100.42829335887708,0.9999116083853807,0.657887988770069,0.0006144757573975269
188,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Junk_old,,29/10/2025,4,4.2,0.0,576.0,0.0994127310626206,0.15,2221.803241187168,1642.571102457194,2317.848013256718,-42.318076926860634,100.42977867538676,0.9999110014006716,0.6566274993548391,0.0006136274015053426
189,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Junk_old,,29/10/2025,5,4.2,45.0,,0.0994127310626206,0.15,2221.803241187168,426.4318319524855,2319.141535342247,-42.29368046820086,100.4292579835923,0.9999111146972411,0.6562876975606413,0.0006158735151874315
190,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Junk_old,,29/10/2025,6,4.2,10.0,591.0,0.0994127310626206,0.15,2221.803241187168,1202.624744663914,2322.757174987525,-42.225638382424975,100.42780660380757,0.9999114306787975,0.655339962374647,0.0006222381732758853
191,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Nose,,29/10/2025,7,4.2,0.0,577.0,0.0994127310626206,0.15,2228.950886582883,1656.224289597128,2316.303983870215,-42.546475121696595,100.41257236578433,0.9999195004323644,0.6734922842351887,0.0005764112886075855
194,"[0.         0.00015339 0.00030677 0.00046016 0.00061355 0.00076694
 0.00092032 0.00107371 0.0012271  0.00138049 0.00153387 0.00168726
 0.00184065 0.00199404 0.00214742 0.00230081 0.0024542  0.00260759
 0.00276097 0.00291436 0.00306775 0.00322114 0.00337452 0.00352791
 0.0036813  0.00383468 0.00398807 0.00414146]",Nuts,,29/10/2025,10,4.2,0.0,667.0,0.0994127310626206,0.15,2093.263955636518,1531.436406245028,2309.579395712658,-42.64946464121895,100.41462686478071,0.9999190895062042,0.6749630225223635,0.000568021580246709
